höfundar	höfundur	nkee
.	.	pl

Nú	nú	aa
verður	verða	sfg3en
til	til	aa
ný	nýr	lvensf
og	og	c
áhugaverð	áhugaverður	lvensf
spenna	spenna	nven
sem	sem	ct
skapast	skapa	sfm3en
af	af	af
togstreita	togstreita	x
milli	milli	af
annars	annar	fokee
vegar	vegur	nkee
persónulegs	persónulegur	lkeesf
tjástíls	tjástíll	nkee
,	,	pk
hnitmiðaðra	hnitmiðaður	lhfesf
vinnubragða	vinnubrögð	nhfe
og	og	c
nærveru	nærvera	nvee
listamannsins	listamaður	nkeeg
sem	sem	ct
skapandi	skapandi	lheeof
afls	afl	nhee
,	,	pk
og	og	c
iðnaðarlegs	iðnaðarlegur	lheesf
og	og	c
nútímalegs	nútímalegur	lheesf
plexíglersins	plexígler	nheeg
hins	hinn	fakee
vegar	vegur	nkee
.	.	pl

Plexíglerið	plexígler	nheng
skapar	skapa	sfg3en
fjarlægð	fjarlægð	nveo
milli	milli	af
áhorfanda	áhorfandi	nkee
og	og	c
listamanns	listamaður	nkee
en	en	c
speglun	speglun	nven
þess	það	fphee
gerir	gera	sfg3en
áhorfandann	áhorfandi	nkeog
samtímis	samtímis	aa
að	að	af
hluta	hluti	nkeþ
af	af	af
verkinu	verk	nheþg
því	það	fpheþ
það	það	fphen
er	vera	sfg3en
næsta	næsta	aa
ómögulegt	ómögulegur	lhensf
að	að	cn
skoða	skoða	sng
verkin	verk	nhfog
án	án	af
þess	það	fphee
að	að	cn
sjá	sjá	sng
sýningarrýmið	sýningarrými	nheog
birtast	birta	snm
í	í	af
yfirborðinu	yfirborð	nheþg
.	.	pl

Bjarni	Bjarni	nken-s
minnir	minna	sfg3en
þannig	þannig	aa
rækilega	rækilega	aa
á	á	af
stöðu	staða	nveo
listarinnar	list	nveeg
sem	sem	ct
er	vera	sfg3en
ætíð	ætíð	aa
í	í	af
samhengi	samhengi	nheþ
við	við	af
umhverfi	umhverfi	nheo
sitt	sinn	feheo
.	.	pl

Þessi	þessi	faven
hlið	hlið	nven
á	á	af
verkum	verk	nhfþ
Bjarna	Bjarni	nkee-s
er	vera	sfg3en
að	að	af
mínu	minn	feheþ
mati	mat	nheþ
ein	einn	foven
sú	sá	faven
áhugaverðasta	áhugaverður	lvenve
í	í	af
list	list	nveþ
hans	hann	fpkee
og	og	c
býður	bjóða	sfg3en
upp	upp	aa
á	á	af
mikla	mikill	lkfosf
möguleika	möguleiki	nkfo
á	á	af
spennandi	spennandi	lveþof
tengingu	tenging	nveþ
við	við	af
sýningarrýmið	sýningarrými	nheog
.	.	pl

Ragna	Ragna	nven-s
Sigurðardóttir	Sigurðardóttir	nven-s

Í	í	af
LISTAHÁSKÓLA	listaháskóli	nkeþ-s
Íslands	Ísland	nhee-s
heldur	halda	sfg3en
í	í	af
dag	dagur	nkeo
fyrirlestur	fyrirlestur	nkeo
myndlistamaðurinn	myndlistamaður	nkeng
Elke	Elke	n----s
Krystufek	Krystufek	n----s
.	.	pl

Víkverji	Víkverji	nken-s
skrifar	skrifa	sfg3en
...	...	pa

:	:	pa
Viltu	vilja	sfg2en
strimilinn	strimill	nkeog
?	?	pl

er	vera	sfg3en
orðin	verða	sþgven
ein	einn	foven
algengasta	algengur	lvenve
spurning	spurning	nven
sem	sem	ct
Víkverji	Víkverji	nken-s
fær	fá	sfg3en
í	í	af
dagsins	dagur	nkeeg
önn	önn	nveþ
.	.	pl

Þeir	hann	fpkfn
sem	sem	ct
spyrja	spyrja	sfg3fn
eru	vera	sfg3fn
afgreiðslufólk	afgreiðslufólk	nhen
í	í	af
verslunum	verslun	nvfþ
.	.	pl

Víkverji	Víkverji	nken-s
vill	vilja	sfg3en
aldrei	aldrei	aa
strimilinn	strimill	nkeog
.	.	pl

Honum	hann	fpkeþ
finnst	finna	sfm3en
algjörlega	algjörlega	aa
óþarft	óþarfur	lhensf
að	að	cn
fá	fá	sng
afrit	afrit	nheo
af	af	af
miðanum	miði	nkeþg
sem	sem	ct
hann	hann	fpken
skrifar	skrifa	sfg3en
undir	undir	aa
þegar	þegar	c
hann	hann	fpken
hefur	hafa	sfg3en
greitt	greiða	sþghen
með	með	af
debetkortinu	debetkort	nheþg
sínu	sinn	feheþ
.	.	pl

Hann	hann	fpken
er	vera	sfg3en
því	því	aa
ákaflega	ákaflega	aa
feginn	feginn	lkensf
að	að	c
nú	nú	aa
eru	vera	sfg3fn
í	í	af
sumar	sumur	fovfo
verslanir	verslun	nvfo
komnir	koma	sþgkfn
posar	posi	nkfn
sem	sem	ct
gefur	gefa	sfg3en
afgreiðslufólkinu	afgreiðslufólk	nheþg
kost	kostur	nkeo
á	á	af
að	að	cn
hafna	hafna	sng
alfarið	alfarið	aa
að	að	cn
prenta	prenta	sng
út	út	aa
strimlana	strimill	nkfog
.	.	pl

Þá	þá	aa
fær	fá	sfg3en
Víkverji	Víkverji	nken-s
ekki	ekki	aa
samviskubit	samviskubit	nheo
yfir	yfir	af
þeirri	sá	faveþ
ótrúlega	ótrúlega	x
eyðslu	eyðsla	nveþ
á	á	af
pappír	pappír	nkeþ
sem	sem	ct
honum	hann	fpkeþ
finnst	finna	sfm3en
útprentun	útprentun	nven
strimla	strimill	nkfe
og	og	c
afrita	afrit	nhfe
vera	vera	sng
,	,	pk
sem	sem	ct
hann	hann	fpken
iðulega	iðulega	aa
krumpar	krumpa	sfg3en
og	og	c
hendir	henda	sfg3en
í	í	af
ruslið	rusl	nheog
.	.	pl

Víkverji	Víkverji	nken-s
vonar	vona	sfg3en
að	að	c
fleiri	margur	lvfnvm
verslanir	verslun	nvfn
taki	taka	svg3fn
þessa	þessi	fakfo
posa	posi	nkfo
í	í	af
notkun	notkun	nveo
.	.	pl

Víkverji	Víkverji	nken-s
hefur	hafa	sfg3en
hjólað	hjóla	sþghen
í	í	af
vinnuna	vinna	nveog
í	í	af
mörg	margur	lhfosf
ár	ár	nhfo
en	en	c
átak	átak	nhen
hefur	hafa	sfg3en
nú	nú	aa
verið	vera	sþghen
í	í	af
gangi	gangur	nkeþ
til	til	af
að	að	cn
hvetja	hvetja	sng
Íslendinga	Íslendingur	nkfo-s
til	til	af
að	að	cn
nota	nota	sng
þennan	þessi	fakeo
fararmáta	fararmáti	nkeo
í	í	af
ríkari	ríkur	lkeþvm
mæli	mælir	nkeþ
.	.	pl

Margt	margur	lhensf
ágætt	ágætur	lhensf
hefur	hafa	sfg3en
verið	vera	sþghen
gert	gera	sþghen
í	í	af
stígamálum	stígamál	nhfþ
og	og	c
aðgengi	aðgengi	nheþ
hjólreiðafólks	hjólreiðafólk	nhee
undanfarin	undanfarinn	lhfosf
ár	ár	nhfo
en	en	c
betur	vel	aam
má	mega	sfg3en
ef	ef	c
duga	duga	sng
skal	skulu	sfg3en
.	.	pl

Víkverji	Víkverji	nken-s
stingur	stinga	sfg3en
upp	upp	aa
á	á	af
því	það	fpheþ
að	að	c
í	í	af
kjölfar	kjölfar	nheo
átaksins	átak	nheeg
verði	verða	svg3fn
þeir	sá	fakfn
sem	sem	ct
hjólað	hjóla	sþghen
hafa	hafa	sfg3fn
í	í	af
vinnuna	vinna	nveog
undanfarna	undanfarinn	lkfosf
daga	dagur	nkfo
hvattir	hvetja	sþgkfn
til	til	af
að	að	cn
senda	senda	sng
inn	inn	aa
á	á	af
heimasíðu	heimasíða	nveo
ÍSÍ	ÍSÍ	n----s
eða	eða	c
annars	annar	fokee
staðar	staður	nkee
hugmyndir	hugmynd	nvfo
að	að	af
úrbótum	úrbót	nvfþ
hvað	hver	fshen
varðar	varða	sfg3en
þennan	þessi	fakeo
málaflokk	málaflokkur	nkeo
í	í	af
borginni	borg	nveþg
.	.	pl

Víkverji	Víkverji	nken-s
skorar	skora	sfg3en
líka	líka	aa
á	á	af
ÍSÍ	ÍSÍ	n----s
að	að	cn
fræða	fræða	sng
Íslendinga	Íslendingur	nkfo-s
aðeins	aðeins	aa
um	um	aa
hvernig	hvernig	aa
beri	bera	svg3en
að	að	cn
umgangast	umgangast	snm
hjólafólk	hjólafólk	nheo
,	,	pk
hvar	hvar	aa
það	það	fphen
eigi	eiga	svg3en
að	að	cn
hjóla	hjóla	sng
og	og	c
þar	þar	aa
fram	fram	aa
eftir	eftir	af
götunum	gata	nvfþg
(	(	pa
eða	eða	c
gangstéttunum	gangstétt	nvfþg
)	)	pa
.	.	pl

Víkverji	Víkverji	nken-s
heimsótti	heimsækja	sfg3eþ
Sólheima	Sólheimar	nkfo-s
í	í	af
Grímsnesi	Grímsnes	nheþ-s
nýverið	nýverið	aa
og	og	c
heillaðist	heilla	sfm3eþ
algjörlega	algjörlega	aa
af	af	af
staðnum	staður	nkeþg
.	.	pl

Víkverji	Víkverji	nken-s
hefur	hafa	sfg3en
reyndar	reyndar	aa
komið	koma	sþghen
nokkrum	nokkur	fohfþ
sinnum	sinn	nhfþ
áður	áður	aa
í	í	af
Sólheima	Sólheimar	nkfo-s
og	og	c
alltaf	alltaf	aa
í	í	af
mjög	mjög	aa
góðu	góður	lheþsf
veðri	veður	nheþ
.	.	pl

Reyndar	reyndar	aa
veltir	velta	sfg3en
Víkverji	Víkverji	nken-s
því	það	fpheþ
fyrir	fyrir	af
sér	sig	fpkeþ
hvort	hvort	c
stemmningin	stemmning	nveng
á	á	af
staðnum	staður	nkeþg
,	,	pk
allur	allur	foken
gróðurinn	gróður	nkeng
og	og	c
yndislega	yndislegur	lhenvf
fólkið	fólk	nheng
,	,	pk
hafi	hafa	svg3fn
þau	sá	fahfo
áhrif	áhrif	nhfo
að	að	c
í	í	af
minningunni	minning	nveþg
hafi	hafa	svg3en
veðrið	veður	nheng
alltaf	alltaf	aa
verið	vera	sþghen
gott	góður	lhensf
?	?	pl

Víkverji	Víkverji	nken-s
stefnir	stefna	sfg3en
á	á	af
að	að	cn
fara	fara	sng
að	að	cn
sjá	sjá	sng
leikritið	leikrit	nheog
Latabæ	Latibær	nkeo-s
núna	núna	aa
um	um	af
helgina	helgi	nveog
sem	sem	ct
þar	þar	aa
er	vera	sfg3en
sýnt	sýna	sþghen
.	.	pl

Síðan	síðan	aa
ætlar	ætla	sfg3en
hann	hann	fpken
á	á	af
kaffihúsið	kaffihús	nheog
og	og	c
smakka	smakka	sng
lífrænan	lífrænn	lkeosf
safa	safi	nkeo
og	og	c
gómsætar	gómsætur	lvfosf
kökur	kaka	nvfo
.	.	pl

Að	að	af
því	það	fpheþ
loknu	lokinn	lheþsf
ætlar	ætla	sfg3en
hann	hann	fpken
að	að	cn
fylla	fylla	sng
skottið	skott	nheog
á	á	af
bílnum	bíll	nkeþg
af	af	af
lífrænt	lífrænt	aa
ræktuðu	ræktaður	lheþsf
grænmeti	grænmeti	nheþ
,	,	pk
trjáplöntum	trjáplanta	nvfþ
og	og	c
hinum	hinn	ghfþ
landsþekktu	landsþekktur	lhfþvf
kertum	kerti	nhfþ
sem	sem	ct
framleidd	framleiða	sþghfn
eru	vera	sfg3fn
á	á	af
staðnum	staður	nkeþg
og	og	c
kannski	kannski	aa
kaupir	kaupa	sfg3en
hann	hann	fpken
nokkra	nokkur	fokfo
handofna	handofinn	lkfosf
dúka	dúkur	nkfo
líka	líka	aa
.	.	pl

Víkverji	Víkverji	nken-s
heyrði	heyra	sfg3eþ
hjá	hjá	af
kunnugum	kunnugur	lkfþsf
að	að	c
sumarbústaðafólk	sumarbústaðafólk	nhen
í	í	af
Grímsnesi	Grímsnes	nheþ-s
væri	vera	svg3eþ
tíðir	tíður	lkfnsf
gestir	gestur	nkfn
á	á	af
Sólheimum	Sólheimar	nkfþ-s
og	og	c
keyptu	kaupa	svg3fþ
trjáplöntur	trjáplanta	nvfo
,	,	pk
enda	enda	c
væru	vera	svg3fþ
þær	hún	fpvfn
víst	víst	aa
sérsniðnar	sérsniðinn	lvfnsf
fyrir	fyrir	af
jarðveginn	jarðvegur	nkeog
á	á	af
staðnum	staður	nkeþg
,	,	pk
enda	enda	c
ættaðar	ættaður	lvfnsf
frá	frá	af
Gímsnesi	Gímsnes	nheþ-s
.	.	pl

Menningarlífið	menningarlíf	nheng
blómstrar	blómstra	sfg3en
á	á	af
Sólheimum	Sólheimar	nkfþ-s
og	og	c
Víkverji	Víkverji	nken-s
getur	geta	sfg3en
varla	varla	aa
beðið	bíða	sþghen
eftir	eftir	af
því	það	fpheþ
að	að	cn
sjá	sjá	sng
sumarkabarettsýningu	sumarkabarettsýning	nveo
Sólheima	Sólheimar	nkfe-s
á	á	af
kaffihúsinu	kaffihús	nheþg
Grænu	grænn	lveþvf
könnunni	kanna	nveþg
í	í	af
sumar	sumar	nheo
.	.	pl

SKÁK	skák	nven
-	-	pa
Helgi	Helgi	nken-s
Áss	Áss	nken-s
Grétarsson	Grétarsson	nken-s
:	:	pa
1	1.	ta
e4	e4	x
c5	c5	ta
2	2	ta
.	.	pl

Rf3	rf3	x
d6	d6	ta
3	3.	ta
d4	d4	ta
cxd4	cxd4	ta
4	4	ta
.	.	pl

Rxd4	rxd4	x
Rf6	rf6	x
5	5	ta
.	.	pl

Rc3	rc3	x
a6	a6	ta
6	6	ta
.	.	pl

Be2	be2	ta
e5	e5	x
7	7	ta
.	.	pl

Rb3	rb3	x
Be7	be7	ta
8	8	ta
.	.	pl

Bg5	bg5	ta
Be6	be6	ta
9	9	ta
.	.	pl

Bxf6	bxf6	ta
Bxf6	bxf6	ta
10	10	ta
.	.	pl

Dd3	dd3	ta
Rc6	rc6	x
11	11	ta
.	.	pl

O-O-O	o-o-o	x
Be7	be7	ta
12	12	ta
.	.	pl

Rd5	rd5	x
Bg5	bg5	ta
+	+	m
13	13	ta
.	.	pl

Kb1	kb1	x
O-O	o-o	x
14	14.	ta
h4	h4	x
Bxh4	bxh4	ta
15	15.	ta
g3	g3	x
Bf6	bf6	ta
16	16	ta
.	.	pl

Df3	df3	ta
Bg5	bg5	ta
17	17	ta
.	.	pl

Dh5	dh5	x
Bh6	bh6	ta
18	18	ta
.	.	pl

Bg4	bg4	ta
a5	a5	ta
19	19	ta
.	.	pl

Re3	re3	x
a4	a4	ta
20	20	ta
.	.	pl

Rc5	rc5	x
De7	de7	ta
21	21	ta
.	.	pl

Rd3	rd3	x
a3	a3	ta
22	22.	ta
b3	b3	ta
Rd4	rd4	x
23	23	ta
.	.	pl

Bf5	bf5	ta
Hac8	hac8	x
24	24	ta
.	.	pl

Rb4	rb4	x
Dc7	dc7	ta
25	25.	ta
c4	c4	ta
Bxf5	bxf5	ta
26	26	ta
.	.	pl

Rxf5	rxf5	x
Rxf5	rxf5	x
27	27	ta
.	.	pl

Dxf5	dxf5	x
f6	f6	x
28	28	ta
.	.	pl

Rd5	rd5	x
Df7	df7	ta
29	29	ta
.	.	pl

Hd3	hd3	x
Hc6	hc6	x
30	30	ta
.	.	pl

Rc3	rc3	x
Ha8	ha8	x
31	31	ta
.	.	pl

Hhd1	hhd1	x
g6	g6	x
32	32	ta
.	.	pl

Dh3	dh3	x
Bf8	bf8	ta
33	33.	ta
g4	g4	x
De6	de6	ta
34	34	ta
.	.	pl

Rd5	rd5	x
Bg7	bg7	ta
35	35.	ta
g5	g5	x
He8	he8	x
36	36	ta
.	.	pl

Hh1	hh1	x
Dxh3	dxh3	x
37	37	ta
.	.	pl

Hdxh3	hdxh3	x
fxg5	fxg5	x
38	38	ta
.	.	pl

Hxh7	hxh7	x
Hcc8	hcc8	x
39	39	ta
.	.	pl

H7h3	h7h3	x
He6	he6	x
40	40	ta
.	.	pl

Hg1	hg1	x
Hf8	hf8	x
41	41.	ta
f3	f3	x
Bf6	bf6	ta
42	42	ta
.	.	pl

Kc2	kc2	x
Hee8	hee8	x
43	43	ta
.	.	pl

Hh6	hh6	x
Kf7	kf7	x
44	44.	ta
b4	b4	ta
Hh8	hh8	x
45	45	ta
.	.	pl

Hgh1	hgh1	x
Hxh6	hxh6	x
46	46	ta
.	.	pl

Hxh6	hxh6	x
Kg7	kg7	x
Staðan	staða	nveng
kom	koma	sfg3eþ
upp	upp	aa
í	í	af
A-flokki	A-flokkur	nkeþ-s
minningarmóts	minningarmót	nhee
Capablanca	Capablanca	n----s
sem	sem	ct
lauk	ljúka	sfg3eþ
fyrir	fyrir	af
skömmu	skammur	lheþsf
í	í	af
Havanna	Havanna	n----s
.	.	pl

Lazaro	Lazaro	n----s
Bruzon	Bruzon	n----s
(	(	pa
2602	2602	ta
)	)	pa
hafði	hafa	sfg3eþ
hvítt	hvítur	lheosf
gegn	gegn	af
landa	landi	nkeþ
sínum	sinn	fekeþ
Yuniesky	Yuniesky	n----s
Quezada	Quezada	n----s
(	(	pa
2478	2478	ta
)	)	pa
.	.	pl

47	47	ta
.	.	pl

Hh7	hh7	x
+	+	m
!	!	pl

og	og	c
svartur	svartur	lkensf
gafst	gefa	sfm3eþ
upp	upp	aa
enda	enda	c
verður	verða	sfg3en
hann	hann	fpken
manni	maður	nkeþ
undir	undir	aa
eftir	eftir	af
47..	47..	ta
.	.	pl

Kxh7	kxh7	x
48	48	ta
.	.	pl

Rxf6	rxf6	x
+	+	m
.	.	pl

Seinna	seint	aam
í	í	af
vikunni	vika	nveþg
verður	verða	sfg3en
Stigamót	Stigamót	nhen-s
Taflfélagsins	Taflfélag	nheegs
Hellis	Hellir	nkee-s
haldið	halda	sþghen
og	og	c
munu	munu	sfg3fn
verða	verða	sng
upplýsingar	upplýsing	nvfn
um	um	af
það	það	fpheo
að	að	cn
finna	finna	sng
á	á	af
skak.is	skak.is	v
.	.	pl

BRIDS	brids	nhen
-	-	pa
Guðmundur	Guðmundur	nken-s
Páll	Páll	nken-s
Arnarson	Arnarson	nken-s
:	:	pa
Þegar	þegar	c
svíningar	svíning	nvfn
bjóðast	bjóða	sfm3fn
í	í	af
þremur	þrír	tfkfþ
litum	litur	nkfþ
getur	geta	sfg3en
verið	vera	sþghen
erfitt	erfiður	lhensf
að	að	cn
taka	taka	sng
réttan	réttur	lkeosf
kúrs	kúrs	nkeo
.	.	pl

Suður	suður	nhen
spilar	spila	sfg3en
sex	sex	tfhfo
hjörtu	hjarta	nhfo
og	og	c
fær	fá	sfg3en
út	út	aa
smátt	smár	lheosf
tromp	tromp	nheo
:	:	pa
Norður	Norður	nhen-s
gefur	gefa	sfg3en
;	;	pk
allir	allur	fokfn
á	á	af
hættu	hætta	nveþ
.	.	pl

Norður	Norður	nhen-s
&	&	c
spade	spade	e
;	;	pk
1054	1054	ta
&	&	c
heart	heart	e
;	;	pk
ÁKD2	ÁKD2	ta
&	&	c
diam	diam	e
;	;	pk
ÁKG74	ÁKG74	ta
&	&	c
klubs	klubs	e
;	;	pk
D	d	nhen
Norður	norður	nhen
Vestur	vestur	nhen
Austur	austur	nhen
&	&	c
spade	spade	e
;	;	pk
K97	k97	x
&	&	c
spade	spade	e
;	;	pk
G82	g82	x
&	&	c
heart	heart	e
;	;	pk
10854	10854	ta
&	&	c
heart	heart	e
;	;	pk
6	6	ta
&	&	c
diam	diam	e
;	;	pk
1063	1063	ta
&	&	c
diam	diam	e
;	;	pk
D952	d952	ta
&	&	c
klubs	klubs	e
;	;	pk
K72	k72	x
&	&	c
klubs	klubs	e
;	;	pk
108543	108543	ta
Suður	suður	nhen
&	&	c
spade	spade	e
;	;	pk
ÁD63	ÁD63	x
&	&	c
heart	heart	e
;	;	pk
G973	G973	ta
&	&	c
diam	diam	e
;	;	pk
8	8	ta
&	&	c
klubs	klubs	e
;	;	pk
ÁG96	ÁG96	x
Vestur	vestur	nhen
Norður	norður	nhen
Austur	austur	nhen
Suður	suður	nhen
--	--	pa
1	1	ta
tígull	tígull	nken
Pass	pass	nhen
1	1	ta
hjarta	hjarta	nhen
Pass	pass	nhen
4	4	ta
hjörtu	hjarta	nhfn
Pass	pass	nhen
4	4	ta
grönd	grand	nhfn
Pass	pass	nhen
5	5	ta
lauf	lauf	nhfn
Pass	pass	nhen
5	5	ta
tíglar	tígull	nkfn
Pass	pass	nhen
6	6	ta
tíglar	tígull	nkfn
Pass	pass	nhen
6	6	ta
hjörtu	hjarta	nhfn
Pass	pass	nhen
Pass	pass	nhen
Pass	pass	nhen
Sagnir	sögn	nvfn
:	:	pa
Norður	Norður	nhen-s
lýsir	lýsa	sfg3en
yfir	yfir	aa
hámarksopnun	hámarksopnun	nveþ
(	(	pa
18-20	18-20	ta
HP	HP	n----s
)	)	pa
með	með	af
stökkinu	stökk	nheþg
í	í	af
fjögur	fjórir	tfhfo
hjörtu	hjarta	nhfo
.	.	pl

Suður	suður	nhen
spyr	spyrja	sfg3en
þá	þá	aa
um	um	af
lykilspil	lykilspil	nhfo
og	og	c
trompdrottningu	trompdrottning	nveo
.	.	pl

Svarið	svar	nheng
á	á	af
fimm	fimm	tfhfþ
laufum	lauf	nhfþ
sýnir	sýna	sfg3en
þrjú	þrír	tfhfo
lykilspil	lykilspil	nhfo
(	(	pa
ÁK	ÁK	n----s
í	í	af
trompi	tromp	nheþ
og	og	c
tígulás	tígulás	nkeo
)	)	pa
,	,	pk
og	og	c
með	með	af
sex	sex	tfkfþ
tíglum	tígull	nkfþ
kveðst	kveða	sfm3en
norður	norður	nhen
eiga	eiga	sng
trompdrottninguna	trompdrottning	nveog
og	og	c
tígulkónginn	tígulkóngur	nkeog
,	,	pk
en	en	c
hvorugan	hvorugur	fokeo
svarta	svartur	lkeovf
kónginn	kóngur	nkeog
.	.	pl

Úrspilið	úrspil	nheng
:	:	pa
Slemman	slemma	nveng
er	vera	sfg3en
sterk	sterkur	lvensf
og	og	c
gæti	geta	svg3eþ
unnist	vinna	sþmhen
eftir	eftir	af
mörgum	margur	lvfþsf
leiðum	leið	nvfþ
.	.	pl

En	en	c
hér	hér	aa
er	vera	sfg3en
legan	lega	nveng
óhagstæð	óhagstæður	lvensf
:	:	pa
trompið	tromp	nheng
4-1	4-1	ta
,	,	pk
svörtu	svartur	lkfnvf
kóngarnir	kóngur	nkfng
í	í	af
bakið	bak	nheog
og	og	c
tíguldrottningin	tíguldrottning	nveng
fjórða	fjórði	lvenvf
í	í	af
austur	austur	nheo
.	.	pl

Það	það	fphen
mun	munu	sfg3en
ekki	ekki	aa
ganga	ganga	sng
að	að	cn
taka	taka	sng
fyrsta	fyrstur	lkeove
slaginn	slagur	nkeog
í	í	af
blindum	blindur	lkeþsf
og	og	c
hleypa	hleypa	sng
laufdrottningu	laufdrottning	nveþ
.	.	pl

(	(	pa
Vestur	vestur	nhen
trompar	trompa	sfg3en
aftur	aftur	aa
út	út	aa
og	og	c
sagnhafi	sagnhafi	nken
tekur	taka	sfg3en
ÁK	ÁK	n----s
í	í	af
tígli	tígull	nkeþ
og	og	c
stingur	stinga	sfg3en
tígul	tígull	nkeo
.	.	pl

Tekur	taka	sfg3en
ÁG	ÁG	x
í	í	af
laufi	lauf	nheþ
,	,	pk
síðan	síðan	aa
trompin	tromp	nhfog
og	og	c
vonast	vona	sfm3en
eftir	eftir	af
einhverju	einhver	foheþ
góðu	góður	lheþsf
í	í	af
lokin	lok	nhfog
.	.	pl

En	en	c
ekkert	enginn	fohen
gott	góður	lhensf
gerist	gera	sfm3en
.	.	pl
)	)	pa

Best	góður	lhense
er	vera	sfg3en
að	að	cn
fara	fara	sng
strax	strax	aa
í	í	af
tígulinn	tígull	nkeog
;	;	pk
taka	taka	sng
fyrsta	fyrstur	lkeove
trompslaginn	trompslagur	nkeog
heima	heima	aa
,	,	pk
spilar	spila	sfg3en
ÁK	ÁK	n----s
í	í	af
tígli	tígull	nkeþ
og	og	c
stinga	stinga	sng
tígul	tígull	nkeo
.	.	pl

Svo	svo	aa
kemur	koma	sfg3en
tromp	tromp	nhen
inn	inn	aa
á	á	af
blindan	blindur	lkeosf
og	og	c
tígull	tígull	nken
aftur	aftur	aa
trompaður	trompa	sþgken
með	með	af
gosa	gosi	nkeþ
.	.	pl

Samgangsvandræðin	samgangsvandræði	nhfng
eru	vera	sfg3fn
leyst	leysa	sþghfn
með	með	af
því	það	fpheþ
að	að	cn
spila	spila	sng
litlu	lítill	lheþsf
laufi	lauf	nheþ
á	á	af
drottninguna	drottning	nveog
!	!	pl

Norður	Norður	nhen-s
&	&	c
spade	spade	e
;	;	pk
1054	1054	ta
&	&	c
heart	heart	e
;	;	pk
ÁK	ÁK	n----s
&	&	c
diam	diam	e
;	;	pk
G	g	nhen
&	&	c
klubs	klubs	e
;	;	pk
D	d	nhen
Vestur	vestur	nhen
Austur	austur	nhen
&	&	c
spade	spade	e
;	;	pk
K97	k97	x
&	&	c
spade	spade	e
;	;	pk
G82	g82	x
&	&	c
heart	heart	e
;	;	pk
108	108	ta
&	&	c
heart	heart	e
;	;	pk
--	--	pa
&	&	c
diam	diam	e
;	;	pk
--	--	pa
&	&	c
diam	diam	e
;	;	pk
--	--	pa
&	&	c
klubs	klubs	e
;	;	pk
K7	k7	x
&	&	c
klubs	klubs	e
;	;	pk
10854	10854	ta
Suður	suður	nhen
&	&	c
spade	spade	e
;	;	pk
ÁD6	ÁD6	x
&	&	c
heart	heart	e
;	;	pk
--	--	pa
&	&	c
diam	diam	e
;	;	pk
--	--	pa
&	&	c
klubs	klubs	e
;	;	pk
ÁG96	ÁG96	x

Úrslit	úrslit	nhfn
á	á	af
íþróttamóti	íþróttamót	nheþ
Andvara	Andvari	nkee-s
haldið	halda	sþghen
á	á	af
Kjóavöllum	Kjóavellir	nkfþ-s
:	:	pa
Opinn	opinn	lkensf
flokkur	flokkur	nken
Tölt	tölt	nhen
1.-	1.-	ta
Jón	Jón	nken-s
Ó	Ó.	n----s
Guðmundsson	Guðmundsson	nken-s
,	,	pk
Brúnka	Brúnka	nven-s
frá	frá	af
Varmadal	Varmadalur	nkeþ-s
,	,	pk
7,53	7,53	ta
.	.	pl

2.-	2.-	ta
Erla	Erla	nven-s
G	G.	n----s
Gylfadóttir	Gylfadóttir	nven-s
,	,	pk
Smyrill	Smyrill	nken-s
frá	frá	af
Stokkhólma	Stokkhólmi	nkeþ-s
,	,	pk
7,00	7,00	ta
.	.	pl

3.-	3.-	ta
Bylgja	Bylgja	nven-s
Gauksdóttir	Gauksdóttir	nven-s
,	,	pk
Hnota	Hnota	nven-s
frá	frá	af
Garðabæ	Garðabær	nkeþ-s
,	,	pk
6,78	6,78	ta
.	.	pl

4.-	4.-	ta
Sigríkur	Sigríkur	nken-s
Jónsson	Jónsson	nken-s
,	,	pk
Glíma	Glíma	nven-s
frá	frá	af
Grænuhlíð	Grænahlíð	nveþ-s
,	,	pk
6,51	6,51	ta
.	.	pl

5.-	5.-	ta
Hjördís	Hjördís	nven-s
H	H.	n----s
Ágústsdóttir	Ágústsdóttir	nven-s
,	,	pk
Gná	Gná	nven-s
frá	frá	af
Forsæti	Forsæti	nheþ-s
,	,	pk
6,20	6,20	ta
.	.	pl

6.-	6.-	ta
Erling	Erling	nken-s
Ó	Ó.	n----s
Sigurðsson	Sigurðsson	nken-s
,	,	pk
Áll	Áll	nken-s
frá	frá	af
Búðardal	Búðardalur	nkeþ-s
,	,	pk
5,88	5,88	ta
.	.	pl

7.-	7.-	ta
Kristinn	Kristinn	nken-s
Hugason	Hugason	nken-s
,	,	pk
Urður	Urður	nven-s
frá	frá	af
Ytra-Dalsgerði	Ytra-Dalsgerði	nheþ-s
,	,	pk
6,00	6,00	ta
.	.	pl

8.-	8.-	ta
Elísabet	Elísabet	nven-s
Sveinsdóttir	Sveinsdóttir	nven-s
,	,	pk
Prins	Prins	nken-s
frá	frá	af
Hafnarfirði	Hafnarfjörður	nkeþ-s
,	,	pk
5,95	5,95	ta
.	.	pl

9.-	9.-	ta
Katrín	Katrín	nven-s
Stefánsdóttir	Stefánsdóttir	nven-s
